"Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","CO2","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0","gslenl3","gstdl3","annualprec"
1995,0.398107886314392,0.718860983848572,0,0.718860983848572,528.411560058594,0.479584217071533,360.17,"Only C3 grass allowed","2-Day Rotation",4.67085886001587,"FF",42.73796,-89.75369,10,178,17.7587337493896,886.573181152344
1996,0.367170244455338,0.691850364208221,0,0.691850364208221,471.164367675781,0.467620134353638,361.93,"Only C3 grass allowed","2-Day Rotation",4.74160718917847,"FF",42.73796,-89.75369,10,173,16.607027053833,855.433837890625
1997,0.424358993768692,0.813901484012604,0,0.813901484012604,534.784606933594,0.529588937759399,363.05,"Only C3 grass allowed","2-Day Rotation",4.81397485733032,"FF",42.73796,-89.75369,10,199,15.5907573699951,816.253356933594
1998,0.468907803297043,0.861174464225769,0,0.861174464225769,611.7080078125,0.576659917831421,365.7,"Only C3 grass allowed","2-Day Rotation",4.88361072540283,"FF",42.73796,-89.75369,10,211,16.6826419830322,1059.51916503906
1999,0.400869786739349,0.778367400169373,0,0.778367400169373,560.859436035156,0.515869557857513,367.8,"Only C3 grass allowed","2-Day Rotation",4.94823932647705,"FF",42.73796,-89.75369,10,193,16.8427658081055,879.594177246094
2000,0.421368479728699,0.768407344818115,0,0.768407344818115,551.677001953125,0.471083223819733,368.96,"Only C3 grass allowed","2-Day Rotation",5.01769161224365,"FF",42.73796,-89.75369,10,187,17.0821514129639,976.757507324219
2001,0.434160232543945,0.810326218605042,0,0.810326218605042,597.777526855469,0.609939813613892,370.57,"Only C3 grass allowed","2-Day Rotation",5.08745622634888,"FF",42.73796,-89.75369,10,200,16.8988018035889,1028.77294921875
2002,0.398220211267471,0.699969410896301,0,0.699969410896301,527.714721679688,0.523772656917572,372.59,"Only C3 grass allowed","2-Day Rotation",5.14686822891235,"FF",42.73796,-89.75369,10,201,16.8019313812256,811.647705078125
2003,0.291882365942001,0.47437909245491,0,0.47437909245491,489.316589355469,0.469490110874176,375.15,"Only C3 grass allowed","2-Day Rotation",5.20124673843384,"FF",42.73796,-89.75369,10,138,19.4201526641846,793.504577636719
2004,0.457335144281387,0.858137607574463,0,0.858137607574463,589.795349121094,0.514610588550568,376.95,"Only C3 grass allowed","2-Day Rotation",5.23213911056519,"FF",42.73796,-89.75369,10,195,16.124942779541,933.633544921875
2005,0.312435805797577,0.542352676391602,0,0.542352676391602,513.964111328125,0.479378312826157,378.98,"Only C3 grass allowed","2-Day Rotation",5.24335813522339,"FF",42.73796,-89.75369,10,166,18.6413173675537,697.321472167969
2006,0.568341195583344,0.814965665340424,0,0.814965665340424,599.716979980469,0.584151327610016,381.15,"Only C3 grass allowed","2-Day Rotation",5.26509046554565,"FF",42.73796,-89.75369,10,199,16.6227283477783,979.020446777344
2007,0.527945339679718,0.767378032207489,0,0.767378032207489,628.798706054688,0.479138851165771,382.9,"Only C3 grass allowed","2-Day Rotation",5.26551103591919,"FF",42.73796,-89.75369,10,219,16.5531177520752,1055.41845703125
2008,0.47631511092186,0.949392080307007,0,0.949392080307007,627.8212890625,0.573408544063568,385.02,"Only C3 grass allowed","2-Day Rotation",5.24795341491699,"FF",42.73796,-89.75369,10,247,13.6257066726685,1115.03747558594
2009,0.447424858808517,0.893494427204132,0,0.893494427204132,569.856262207031,0.60374653339386,386.5,"Only C3 grass allowed","2-Day Rotation",5.25749731063843,"FF",42.73796,-89.75369,10,215,14.6395988464355,1084.51379394531
